fid,PCD,PCD_Source,X_BNG,Y_BNG,X_IG,Y_IG,X_Latitude,Y_Longitud,Total_Pers,Females,Males,Occupied_H,LSOA_DZ_Co,LSOA_DZ_Na,OA_SA_Code,OAC_Superg,OAC_Supe_1,OAC_Group_,OAC_Goup_N,OAC_Subgro,OAC_Subg_1,WIMD_2014_,EIMD_2015_,EIMD_201_1,EIMD_201_2,SIMD_2016_,NIMDM_2017,LSOA_DZ_To,LSOA_DZ__1,OA_SA_Town,OA_SA_To_1,field_32,field_33,field_34,utd-pop,icon_url
36,BR7 5PE,ONS,544458,169990,0,0,0.075731860000000,51.410539999999997,24,16,8,19,E01000693,Bromley 010A,E00003330,"5",Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement,,"13","20571",7,,,-2.516952970000000,2.000000000000000,-2.291038161000000,2.000000000000000,,,,"26",./0.png
37,BR7 5PF,ONS,544502,169896,0,0,0.076325810000000,51.409680000000002,31,13,18,10,E01000693,Bromley 010A,E00003330,"5",Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement,,"13","20571",7,,,-2.516952970000000,2.000000000000000,-2.291038161000000,2.000000000000000,,,,"34",./1.png
38,BR7 5PG,ONS,544387,170083,0,0,0.074749520000000,51.411389999999997,45,22,23,19,E01000693,Bromley 010A,E00003369,"5",Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement,,"13","20571",7,,,-2.516952970000000,2.000000000000000,-2.192555570000000,2.000000000000000,,,,"49",./1.png
41,BR7 5PZ,ONS,544408,169804,0,0,0.074937760000000,51.408880000000003,5,2,3,2,E01000696,Bromley 007E,E00003376,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"7","27789",9,,,-4.344882655000000,1.000000000000000,-4.032140595000002,1.000000000000000,,,,"5",./0.png
53,BR7 6LD,ONS,544404,171085,0,0,0.075401580000000,51.420389999999998,39,18,21,13,E01000689,Bromley 002A,E00003363,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"27","9455",3,,,-0.706885108000000,3.000000000000000,-2.511210808000000,2.000000000000000,,,,"43",./1.png
54,BR7 6LE,ONS,544541,170230,0,0,0.077022190000000,51.412669999999999,48,24,24,15,E01000693,Bromley 010A,E00003369,"5",Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement,,"13","20571",7,,,-2.516952970000000,2.000000000000000,-2.192555570000000,2.000000000000000,,,,"53",./1.png
55,BR7 6LF,ONS,544490,170216,0,0,0.076283660000000,51.412559999999999,15,9,6,8,E01000693,Bromley 010A,E00003369,"5",Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement,,"13","20571",7,,,-2.516952970000000,2.000000000000000,-2.192555570000000,2.000000000000000,,,,"16",./0.png
59,BR7 6LQ,ONS,544434,170486,0,0,0.075588880000000,51.414999999999999,111,72,39,21,E01000696,Bromley 007E,E00003367,"6",Suburbanites,6a,Suburban Achievers,6a1,Indian Tech Achievers,,"7","27789",9,,,-4.344882655000000,1.000000000000000,-3.764996758000000,1.000000000000000,,,,"121",./2.png
62,BR7 6LT,ONS,544464,170897,0,0,0.076187320000000,51.418689999999998,84,43,41,21,E01000689,Bromley 002A,E00003338,"5",Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement,,"27","9455",3,,,-0.706885108000000,3.000000000000000,-2.247809171000000,2.000000000000000,,,,"92",./3.png
64,BR7 6LX,ONS,544473,170999,0,0,0.076358200000000,51.419600000000003,54,25,29,38,E01000689,Bromley 002A,E00003363,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"27","9455",3,,,-0.706885108000000,3.000000000000000,-2.511210808000000,2.000000000000000,,,,"59",./4.png
